gene,correlation,mse
PARK7,0.99999785,1.6438977e-10
STMN1,0.99999696,1.6164417e-10
MRPL20,0.99999785,1.709868e-10
PSMB2,0.99999726,1.5593246e-10
EIF3I,0.99999636,1.703679e-10
SRM,0.9999964,1.5956907e-10
NUDC,0.9999972,1.6031548e-10
RPL11,0.99999684,1.5596377e-10
AK2,0.99999666,1.7189607e-10
MRPS15,0.9999964,1.5861185e-10
AURKAIP1,0.9999971,1.8471194e-10
SSU72,0.9999959,1.6032853e-10
MARCKSL1,0.99999624,1.681778e-10
ENO1,0.99999666,1.6120244e-10
ATPIF1,0.9999961,1.8353218e-10
HMGN2,0.9999968,1.6305127e-10
SFPQ,0.99999696,1.6099086e-10
SRRM1,0.99999636,1.6219467e-10
PTP4A2,0.9999956,1.819431e-10
RPL22,0.9999957,1.6123138e-10
