gene,correlation,mse
YRDC,0.99999815,1.6556885e-10
YARS,0.9999961,1.8353218e-10
CAPZB,0.9999969,1.7373421e-10
MRPL20,0.99999785,1.709868e-10
EIF3I,0.99999636,1.703679e-10
FAAP20,0.999997,1.8082542e-10
ENO1,0.99999666,1.6120244e-10
CDC42,0.9999973,1.7083125e-10
DNAJC8,0.9999965,1.5904211e-10
ZCCHC17,0.99999607,1.6576147e-10
AURKAIP1,0.9999971,1.8471194e-10
RPL22,0.9999957,1.6123138e-10
STMN1,0.99999696,1.6164417e-10
CAMTA1,0.99999607,1.7088335e-10
LSM10,0.9999969,1.621716e-10
ZNF593,0.99999714,1.7321022e-10
SRM,0.9999964,1.5956907e-10
PARK7,0.99999785,1.6438977e-10
ATPIF1,0.9999961,1.8353218e-10
SFPQ,0.99999696,1.6099086e-10
WASF2,0.99999636,1.5832675e-10
SRSF10,0.99999714,1.690983e-10
HMGN2,0.9999968,1.6305127e-10
NUDC,0.9999972,1.6031548e-10
MARCKSL1,0.99999624,1.681778e-10
PTP4A2,0.9999956,1.819431e-10
THRAP3,0.99999726,1.6475955e-10
SNRNP40,0.9999983,1.7791817e-10
HDAC1,0.9999968,1.7533407e-10
TMEM50A,0.99999785,1.7761022e-10
SH3BGRL3,0.99999595,1.8005028e-10
MEAF6,0.99999607,1.7138199e-10
SRSF4,0.99999607,1.7073289e-10
MAD2L2,0.9999958,1.5510435e-10
SMIM12,0.9999956,1.7163707e-10
MRPS15,0.9999964,1.5861185e-10
RPL11,0.99999684,1.5596377e-10
KHDRBS1,0.9999955,1.4980493e-10
EPB41,0.9999975,1.5478978e-10
PSMB2,0.99999726,1.5593246e-10
AK2,0.99999666,1.7189607e-10
SRRM1,0.99999636,1.6219467e-10
HNRNPR,0.99999654,1.6336417e-10
MINOS1,0.9999961,1.8353218e-10
SSU72,0.9999959,1.6032853e-10
TRAPPC3,0.999997,1.7155183e-10
LAPTM5,0.9999964,1.713423e-10
RBBP4,0.999996,1.7032392e-10
C1orf122,0.9999969,2.0488207e-10
ZBTB8OS,0.99999624,1.6851269e-10
